"Wavelength (nm)","T"
627,13.95874
628,14.08047
629,14.20569
630,14.33305
631,14.45376
632,14.57788
633,14.69527
634,14.81365
635,14.94095
636,15.06488
637,15.17264
638,15.28934
639,15.40579
640,15.52119
641,15.63596
642,15.76245
643,15.87925
644,15.99014
645,16.09945
646,16.20823
647,16.31524
648,16.42607
649,16.53111
650,16.64012
651,16.74988
652,16.85768
653,16.96981
654,17.08282
655,17.18426
656,17.28389
657,17.37795
658,17.46891
659,17.557
660,17.64203
661,17.72542
662,17.80211
663,17.87707
664,17.95214
665,18.02031
666,18.09202
667,18.16892
668,18.24017
669,18.32197
670,18.40316
671,18.48415
672,18.5646
673,18.64497
674,18.72409
675,18.79597
676,18.8724
677,18.94026
678,19.0173
679,19.09194
680,19.17459
681,19.24213
682,19.31458
683,19.39001
684,19.44415
685,19.50296
686,19.56141
687,19.62337
688,19.67777
689,19.74948
690,19.81881
691,19.8825
692,19.94492
693,19.99593
694,20.06275
695,20.11251
696,20.1743
697,20.23262
698,20.28341
699,20.3305
700,20.40512
701,20.46685
702,20.52711
703,20.59688
704,20.66616
705,20.72379
706,20.78479
707,20.84617
708,20.90644
709,20.9655
710,21.00886
711,21.0571
712,21.09417
713,21.15005
714,21.19594
715,21.2453
716,21.2923
717,21.36318
718,21.42791
719,21.48061
720,21.5554
721,21.63519
722,21.6896
723,21.75143
724,21.83062
725,21.90124
726,21.96757
727,22.0416
728,22.11356
729,22.18415
730,22.24349
731,22.31558
732,22.37918
733,22.43884
734,22.48875
735,22.55478
736,22.61571
737,22.69809
738,22.77076
739,22.85256
740,22.93455
741,23.02242
742,23.11493
743,23.2265
744,23.33041
745,23.43212
746,23.52834
747,23.62886
748,23.71762
749,23.81256
750,23.90525
751,23.99888
752,24.10907
753,24.21492
754,24.33736
755,24.46217
756,24.60766
757,24.72791
758,24.85498
759,24.99503
760,25.11742
761,25.24171
762,25.37299
763,25.50817
764,25.6396
765,25.79873
766,25.9718
767,26.1491
768,26.31842
769,26.49272
770,26.67489
771,26.83862
772,27.00968
773,27.20707
774,27.39821
775,27.60463
776,27.80563
777,28.00043
778,28.21576
779,28.44171
780,28.65653
781,28.89168
782,29.13515
783,29.3748
784,29.62028
785,29.8794
786,30.13368
787,30.40478
788,30.66707
789,30.94655
790,31.22581
791,31.52
792,31.81282
793,32.13263
794,32.42052
795,32.72152
796,33.02312
797,33.37022
798,33.69727
799,34.0293
800,34.39426
801,34.76976
802,35.12121
803,35.49955
804,35.91391
805,36.30812
806,36.71136
807,37.10943
808,37.50183
809,37.91428
810,38.34814
811,38.78657
812,39.22437
813,39.70901
814,40.19737
815,40.68845
816,41.20633
817,41.72622
818,42.22256
819,42.71442
820,43.21106
821,43.69706
822,44.21594
823,44.73576
824,45.28402
825,45.84384
826,46.42142
827,47.01379
828,47.63757
829,48.23263
830,48.84815
831,49.44799
832,50.06577
833,50.6741
834,51.31456
835,51.89852
836,52.50636
837,53.09833
838,53.6836
839,54.26952
840,54.92721
841,55.59591
842,56.26217
843,56.96347
