'Wavelength (nm)',n,k
0.557750366,2.483283,0.000002
0.559339844,2.482034,0.000001
0.560929321,2.480802,0.000001
0.562518677,2.479586,0.000001
0.564108093,2.478387,0.000001
0.565697449,2.477204,0.000001
0.567286743,2.476037,0.000001
0.568876099,2.474884,0.000001
0.570465271,2.473747,0
0.572054565,2.472624,0
0.573643677,2.471516,0
0.575232788,2.470422,0
0.576821899,2.469341,0
0.578411011,2.468274,0
0.580000061,2.467221,0
0.581588989,2.46618,0
0.583177979,2.465152,0
0.584766907,2.464136,0
0.586355774,2.463132,0
0.58794458,2.462141,0
0.589533386,2.461161,0
0.591122192,2.460193,0
0.592710876,2.459236,0
0.594299561,2.45829,0
0.595888245,2.457355,0
0.597476807,2.456431,0
0.599065369,2.455518,0
0.600653931,2.454614,0
0.602242371,2.453721,0
0.603830811,2.452838,0
0.605419189,2.451965,0
0.607007568,2.451101,0
0.608595886,2.450247,0
0.610184143,2.449403,0
0.611772339,2.448567,0
0.613360535,2.44774,0
0.61494873,2.446923,0
0.616536804,2.446114,0
0.618124878,2.445313,0
0.619712891,2.444521,0
0.621300842,2.443738,0
0.622888794,2.442963,0
0.624476685,2.442195,0
0.626064453,2.441436,0
0.627652222,2.440684,0
0.62923999,2.43994,0
0.630827698,2.439204,0
0.632415344,2.438475,0
0.63400293,2.437754,0
0.635590515,2.43704,0
0.63717804,2.436332,0
0.638765503,2.435632,0
0.640352905,2.434939,0
0.641940247,2.434253,0
0.643527588,2.433573,0
0.645114868,2.4329,0
0.646702026,2.432234,0
0.648289246,2.431574,0
0.649876343,2.43092,0
0.65146344,2.430273,0
0.653050415,2.429631,0
0.65463739,2.428996,0
0.656224365,2.428367,0
0.657811218,2.427744,0
0.659398071,2.427126,0
0.660984802,2.426515,0
0.662571533,2.425909,0
0.664158203,2.425308,0
0.665744812,2.424714,0
0.66733136,2.424124,0
0.668917847,2.42354,0
0.670504333,2.422961,0
0.672090698,2.422388,0
0.673677124,2.42182,0
0.675263367,2.421257,0
0.676849609,2.420698,0
0.678435791,2.420145,0
0.680021912,2.419597,0
0.681608032,2.419054,0
0.683194031,2.418515,0
0.684779968,2.417981,0
0.686365906,2.417452,0
0.687951782,2.416927,0
0.689537537,2.416407,0
0.691123291,2.415892,0
0.692708984,2.415381,0
0.694294617,2.414874,0
0.695880188,2.414371,0
0.697465698,2.413873,0
0.699051147,2.413379,0
0.700636597,2.412889,0
0.702221863,2.412404,0
0.70380719,2.411922,0
0.705392395,2.411445,0
0.706977539,2.410971,0
0.708562622,2.410501,0
0.710147705,2.410036,0
0.711732666,2.409574,0
0.713317627,2.409116,0
0.714902466,2.408661,0
0.716487244,2.40821,0
0.718072021,2.407763,0
0.719656677,2.40732,0
0.721241333,2.40688,0
0.722825806,2.406444,0
0.724410339,2.406011,0
0.725994751,2.405581,0
0.727579163,2.405155,0
0.729163452,2.404733,0
0.730747681,2.404313,0
0.732331848,2.403898,0
0.733915955,2.403485,0
0.7355,2.403075,0
0.737083984,2.402669,0
0.738667847,2.402266,0
0.74025177,2.401866,0
0.741835571,2.401469,0
0.74341925,2.401075,0
0.745002869,2.400684,0
0.746586487,2.400296,0
0.748170044,2.399911,0
0.749753479,2.399529,0
0.751336853,2.39915,0
0.752920166,2.398774,0
0.754503418,2.398401,0
0.756086609,2.39803,0
0.757669739,2.397662,0
0.759252808,2.397297,0
0.760835754,2.396935,0
0.76241864,2.396575,0
0.764001465,2.396218,0
0.76558429,2.395864,0
0.767166931,2.395512,0
0.768749573,2.395163,0
0.770332153,2.394816,0
0.771914673,2.394472,0
0.773497009,2.39413,0
0.775079407,2.393791,0
0.776661682,2.393455,0
0.778243835,2.39312,0
0.779825989,2.392788,0
0.781408081,2.392459,0
0.782990051,2.392132,0
0.78457196,2.391807,0
0.786153809,2.391484,0
0.787735535,2.391164,0
0.789317261,2.390846,0
0.790898865,2.390531,0
0.792480408,2.390217,0
0.79406189,2.389906,0
0.79564325,2.389596,0
0.797224548,2.389289,0
0.798805786,2.388985,0
0.800387024,2.388682,0
0.801968079,2.388381,0
0.803549072,2.388083,0
0.805130005,2.387786,0
0.806710876,2.387491,0
0.808291626,2.387199,0
0.809872375,2.386908,0
0.811453003,2.38662,0
0.813033569,2.386333,0
0.814614014,2.386049,0
0.816194458,2.385766,0
0.81777478,2.385485,0
0.81935498,2.385206,0
0.820935181,2.384929,0
0.822515259,2.384654,0
0.824095215,2.38438,0
0.82567511,2.384109,0
0.827255005,2.383839,0
0.828834656,2.383571,0
0.830414368,2.383305,0
0.831993958,2.38304,0
0.833573425,2.382777,0
0.835152954,2.382516,0
0.836732239,2.382257,0
0.838311523,2.381999,0
0.839890747,2.381743,0
0.841469849,2.381489,0
0.843048828,2.381236,0
0.844627747,2.380985,0
0.846206543,2.380735,0
0.847785339,2.380488,0
0.849364075,2.380241,0
0.850942566,2.379997,0
0.852521118,2.379753,0
0.854099487,2.379512,0
0.855677856,2.379272,0
0.857256165,2.379033,0
0.85883429,2.378796,0
0.860412415,2.37856,0
0.861990356,2.378326,0
0.863568237,2.378093,0
0.865146118,2.377862,0
0.866723816,2.377633,0
0.868301453,2.377404,0
0.869879028,2.377177,0
0.871456421,2.376952,0
0.873033875,2.376728,0
0.874611145,2.376505,0
0.876188354,2.376283,0
0.877765442,2.376063,0
0.879342468,2.375845,0
0.880919434,2.375627,0
0.882496277,2.375411,0
0.884073059,2.375197,0
0.885649719,2.374983,0
0.887226257,2.374771,0
0.888802734,2.37456,0
0.890379089,2.374351,0
0.891955383,2.374142,0
0.893531555,2.373935,0
0.895107727,2.373729,0
0.896683716,2.373524,0
0.898259644,2.373321,0
0.899835449,2.373119,0
0.901411255,2.372918,0
0.902986816,2.372718,0
0.904562378,2.372519,0
0.906137817,2.372322,0
0.907713196,2.372126,0
0.909288452,2.37193,0
0.910863647,2.371736,0
0.91243866,2.371543,0
0.914013672,2.371351,0
0.915588562,2.371161,0
0.917163391,2.370971,0
0.918737976,2.370783,0
0.920312622,2.370595,0
0.921887085,2.370409,0
0.923461548,2.370224,0
0.925035828,2.370039,0
0.926609985,2.369856,0
0.928184082,2.369674,0
0.929758118,2.369493,0
0.931332031,2.369313,0
